SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
7739;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A64-124/15(3.10.22-AD4);2015;13-AUG-15;13-AUG-18;"Bendrija ""Giedra""";195700427;"APGYVENDINIMO SAVARANKIŠKO GYVENIMO NAMUOSE PSICHIKOS NEGALIĄ TURINTIEMS ASMENIMS PASLAUGŲ TEIKIMO SUTARTIS";76860
7740;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-722(-3.1.36-SR);2011;01-APR-11;01-APR-31;"Almos Adamianecienės šeimyna";302562037;"ŠEIMYNOS DALYVIŲ IŠLAIKYMO PAJAMŲ FINANSAVIMO SUTARTIS";
7877;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-120/15(3.10.21-TD2);2015;01-DEC-15;30-DEC-15;"Verslo natos, MB";303394208;"Antavilių ežero tilteli remontas";2987.25
7617;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-14/15(3.10.23-AD4);2015;15-JUL-15;13-AUG-15;"UAB Naujieji ženklai";124385018;"Lauko teniso stalo įrengimas Gabijos  miškelyje";2030
7758;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";;2015;21-OCT-15;22-OCT-15;"Gretana, UAB";110898092;"Pašilaičių bendruomenės vakaronės ""Rudens spalvos"" organizavimas.";1140
7791;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-2014/15(2.1.4E-SR7);2015;06-NOV-15;05-NOV-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-2014/15(2.1.4E-SR7) 2015-11-06";2823.8
7792;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-2014/15(2.1.4E-SR7);2015;06-NOV-15;05-NOV-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-2014/15(2.1.4E-SR7) 2015-11-06";2850
7798;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-45/15(3.10.23-TD2);2015;17-NOV-15;17-NOV-18;"Arkela, UAB";222397930;"Raktų gamybos pirkimo sutartis";857.5
7799;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-46/15(3.10.23-TD2);2015;18-NOV-15;18-NOV-16;"Officeday, UAB";124931353;"Pagrindinė sutartis CPO00463";24993.08
7825;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-2130/15(2.1.4E-SR7);2015;26-NOV-15;25-NOV-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-2130/15(2.1.4E-SR7) 2015-11-26";2823.8
7826;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-2130/15(2.1.4E-SR7);2015;26-NOV-15;25-NOV-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-2130/15(2.1.4E-SR7) 2015-11-26";2850
7827;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-2130/15(2.1.4E-SR7);2015;26-NOV-15;25-NOV-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-2130/15(2.1.4E-SR7) 2015-11-26";2823.8
