SASKAITOS_METAI;KREDITORIUS;KREDITORIAUS_NR;SUTARTIES_NR;SASKAITOS_DATA;SASKAITOS_NR;DK_DATA;TERMS_DATE;TREMINAS;VALIUTA;INVOICE_TYPE_LOOKUP_CODE;FIN_SALTINIS;PRIEMONE;SAMATA;EKON_KLAS;ASIGNAV_VALDYTOJAS;ASIGN_VALD_APRASAS;EILUTES_SUMA;APMOKETA_SUMA;SKOLOS_SUMA;SKOLOS_SUMA_ES;DEPARTAMENTAS
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12212726-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2951.84;1004.39;1947.45;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12213272-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000152;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2527.82;2279.91;247.91;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12213586-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;11.15;0;11.15;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12234910-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;589.28;0;589.28;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12248425-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2.57;0;2.57;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12250500-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2203.59;811.54;1392.05;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12253681-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000152;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;3.43;0;3.43;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12256971-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000152;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;187.28;0;187.28;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-13038621-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;1143.97;235.84;908.13;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-13046224-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;1044.75;0;1044.75;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-13046225-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;1598.01;0;1598.01;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
