KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
1010523;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Naujininkų seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010524;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Naujosios Vilnios seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010525;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Panerių seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010526;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Pavilnio bendruomenės savivaldija)";Y;N;14-MAR-08;14-MAR-08
1010527;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Pilaitės seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010528;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Šeškinės seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010529;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Verkių seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010530;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Žvėryno seniūnija)";Y;N;14-MAR-08;14-MAR-08
1010531;"Bendruomenės centrų steigimas seniūnijose (Lazdynų seniūnija)";Y;N;17-JUN-08;17-JUN-08
1010541;"Elektroninės sveikatos informacinė sistema";Y;N;14-MAR-08;14-MAR-08
1010542;"Elektroninio švietimo sistemos diegimas";Y;N;14-MAR-08;14-MAR-08
1010543;"Kompiuterinė įranga ir orgtechnika (skolintos )";Y;N;17-JUN-08;17-JUN-08
1010544;"Elektroninio bilieto viešajame transporte ir keleivių informavimo sistemos sukūrimas";Y;N;17-DEC-08;17-DEC-08
1010545;"Aplinkos apsaugos optimizavimas elektroninėmis priemonėmis";Y;N;17-DEC-08;17-DEC-08
1010546;"Finansų valdymo ir apskaitos sistema";Y;N;17-DEC-08;17-DEC-08
1010551;"Fabijoniškių seniūnija (gyvūnų laikymo lėšos)";Y;N;14-MAR-08;14-MAR-08
1010552;"Rasų seniūnija (gyvūnų laikymo lėšos)";Y;N;14-MAR-08;07-APR-10
1010553;"Verkių seniūnija (gyvūnų laikymo lėšos)";Y;N;14-MAR-08;14-MAR-08
1010554;"Žirmūnų seniūnija (gyvūnų laikymo lėšos)";Y;N;14-MAR-08;14-MAR-08
1010561;"Karoliniškių seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010562;"Fabijoniškių seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010563;"Grigiškių seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010564;"Lazdynų seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010565;"Naujininkų seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010566;"Pilaitės seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010567;"Šeškinės seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010568;"Šnipiškių seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
1010569;"Vilkpėdės seniūnija (Parama)";Y;N;14-MAR-08;14-MAR-08
