DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA;SISTEMINIS_NUMERIS;
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"30-1275";"2010";"28-MAY-10";"28-MAY-20";"DNSB Didžioji g. 10";"300037464";"2010-05-28 įsakymas Nr. 30-1275 dėl Didžioji 10 administravimo";"";"5882";
"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";"29-267(1.2.16-AD4)";"2014";"25-JUN-14";"25-JUN-15";"Lietuvos Respublikos Vyriausybės kanceliarija";"188604574";"Biudžeto lėšų naudojimo sutartis";"4344.3";"5895";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-65/14(3.10.21-AD4)";"2014";"27-JUN-14";"27-JUN-17";"Lemminkainen Lietuva, UAB";"122657512";"Vilniaus miesto gatvių provėžų remonto darbai";"";"5896";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-56/14(3.10.21-AD4)";"2014";"25-JUN-14";"25-JUN-17";"Stebulė, UAB";"122211549";"Vilniaus miesto teritorijų aplinkos gerinimo darbai (savavališkų sąvartynų sutvarkymas)";"429001.91";"5891";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-76/14(3.10.21-AD4)";"2014";"16-JUL-14";"16-MAR-15";"UAB Vilniaus keliai";"302531052";"Žemosios g. ir Daubėnų g. įrengimo dalyvaujant fiziniams ar/ir juridiniams asmenims darbai";"183232.02";"5993";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-74/14(3.10.21-AD4)";"2014";"08-JUL-14";"08-JUL-17";"UAB "Tvorų tiekimas"";"302580882";"Šiukšliadėžių, suolų, stendų įrengimas ir remontas";"";"5994";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A72-1359/14";"2014";"01-AUG-14";"01-AUG-15";"Vilniaus vandenys, UAB";"120545849";"Sutartis  su Vilniaus vandenimis dėl vandens tiekimo ir nuotekų šalinimo";"";"6017";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-85/14(3.10.21-AD4";"2014";"04-AUG-14";"04-FEB-15";"Gatvių statyba, UAB";"122570826";"Santariškių g. nuo esamo autobusų žiedo iki naujai projektuojamo ir naujas autobusų žiedas Santariškių g. (ties Santariškių g. 17) įrengimo darbai";"151215.42";"6021";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A64-108/14(3.10.22-AD4)";"2014";"07-AUG-14";"23-AUG-15";"BAIP, UAB";"301318539";"Papildomas susitarimas prie 2012-08-24 Spausdinimo, koipijavimo ir nuskaitymo paslaugų Vilniaus miesto savivaldybės dalinimas pirkimo sutarties Nr. A64-135(3.10.22-FN4)";"";"6028";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A72-1386(3.1.36-SR)";"2013";"30-SEP-13";"31-DEC-15";"Šv. Roko ligoninė, Viešoji įstaiga";"224369680";"Jungtinės veiklos (partnerystės) sutartis";"4565048.66";"5874";
"Vilniaus miesto savivaldybės administracija";"Dokumentas";"Nr. A72-1407/14(3.1.36-AD4)";"2014";"11-AUG-14";"11-AUG-17";"MAXIMA LT, UAB";"123033512";"Socialinių išmokų  pervedimas į socialines korteles";"";"6038";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A64-62/14(3.10.22-UK)";"2014";"08-MAY-14";"01-JUN-15";"Darbasta";"123436424";"2012-06-01 paslaugų teikimo sutarties Nr. A64-73(3.10.22-UK) papildomas susitarimas";"";"5797";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A64-91/14(3.10.22-AD4)";"2014";"07-JUL-14";"15-JUL-15";"Leksinova, UAB";"124430335";"Papildomas susitarimas prie 2013-07-16 Teisės aktų tvarkymo paslaugos sutarties Nr. A64-65(3.10.22-EM)";"";"6027";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1526/14(2.1.4-SR7)";"2014";"28-JUL-14";"27-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1717.74";"6056";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A68-37/14(3.10.23-AD4)";"2014";"18-SEP-14";"18-SEP-15";"Žvyro karjerai, UAB";"111646297";"2013-09-23 paslaugų teikimo sutarties Nr. A68-43-(3.10.23-UK) papildomas susitarimas";"";"6190";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-65";"2005";"22-NOV-05";"22-NOV-15";"Fima, UAB";"121289694";"Vaizdo stebęjimo kamerų sistemos vaizdo transliavimo paslaugos papildomo pirkimo sutartis";"1390128.3";"6230";
