Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
01090104068	01090104068	Vilniaus Simono Daukanto gimnazijos pastato Vilniuje, J. Jasinskio g. 11, modernizavimas	*	2015-04-01		..Taip.......	
01090104069	01090104069	Vilniaus Liepkalnio pagrindinës mokyklos statinio Vilniuje, Liepkalnio g. 18, modernizavimas	*	2015-04-01		..Taip.......	
01090105	01090105	Remonto darbø atlikimas papildomo ugdymo ástaigose	*			..Ne....Ne...	
01090105001	01090105001	Vilniaus miesto ðvietimo ástaigø remonto darbai ir árangos ásigijimas	*			..Taip.......	
01090105002	01090105002	Materialiojo ir nematerialiojo turto ásigijimas ugdymo ástaigoms	*			..Ne.......	
01090105003	01090105003	Vilniaus miesto ugdymo ástaigø sporto aikðteliø renovavimas	*			..Ne.......	
01090105004	01090105004	Ugdymo ástaigø "Langø-stogø-sanmazgø keitimo programa"	*			..Ne.......	
01090105005	01090105005	Vilniaus Karoliniðkiø muzikos mokyklos pastato apðiltinimas	*			..Taip.......	
01090105006	01090105006	Papildomo ugdymo ástaigø techniniø projektø parengimas	*			..Taip.......	
01090106	01090106	Ðvietimo ástaigø reorganizacija ir akreditacija	*			..Ne....Ne...	
01090107	01090107	Ðvietimo ástaigø renovacijos projektai vykdomi su Ðvietimo ir mokslo ministerija	*			..Ne....Ne...	
01090108	01090108	Remonto darbø atlikimas metodiniuose kabinetuose ir centruose	*			..Ne.......	
01090109	01090109	Bendrojo ugdymo mokyklø pastatø atnaujinimas (modernizavimas), sumaþinant energijos suvartojimo sànaudas (Klimato kaitos specialioji programa)	*			..Ne.......	
01090109001	01090109001	Vilniaus Centro vidurinës mokyklos pastato Lukiðkiø skg. 5, Vilniuje, atnaujinimas (modernizavimas), sumaþinant energijos suvartojimo sànaudas	*			..Taip.......	
01090109002	01090109002	Vilniaus Laisvës gimnazijos pastato Vilniuje, Darþelio g. 2, modernizavimas*	*			..Taip.......	
01090109003	01090109003	Vilniaus Ðolomo Aleichemo ORT gimnazijos pastato Vilniuje, J. I. Kraðevskio g. 5, atnaujinimas ir modernizavimas	*			..Taip.......	
